SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
1421,powerlink:dc-input-contactor-welded,EXPP/PL,Critical,DC input contactor is welded — contacts fused. Can't open. Safety hazard.,Do not charge. Replace welded contactor. Inspect for arc damage.,,
1422,powerlink:mds-comms-loss,EXPP/PL,Critical,Communication with MDS (Main Distribution Switch) lost. Contactor status unknown.,Check CAN cabling to MDS. Power cycle. Replace MDS if persists.,,
1423,powerlink:eichrecht-meter-mismatch,EXPP/PL,Critical,Eichrecht meter reading mismatch. Billing integrity compromised. EU legal compliance issue.,Power cycle. Check meter. Escalate — legal compliance.,,
1424,powerlink:signature-verification-failed,EXPP/PL,Critical,Digital signature verification failed on Eichrecht data. EU legal compliance issue.,Power cycle. Check firmware. Escalate.,,
1425,powerlink:power-system-lockout,EXPP/PL,Critical,Power system locked out.,Fix root cause. Clear lockout.,,
1426,powerlink:power-system-inoperable,EXPP/PL,Critical,Power system completely inoperable.,Check all modules. Power cycle. Replace failed modules.,,
1427,powerlink:power-system-reservation-failure,EXPP/PL,Major,Failed to reserve power modules for session.,Check module status. Power cycle.,,
1428,powerlink:power-system-charging-parameter-failure,EXPP/PL,Major,Failed to set charging parameters.,Power cycle. Update firmware.,,
1429,powerlink:power-system-energize-failure,EXPP/PL,Critical,Failed to energize DC output.,Power cycle. Check modules and contactors.,,
1430,powerlink:power-system-deenergize-failure,EXPP/PL,Critical,Failed to de-energize. HV may persist.,Do not open station. Wait and retry. Check discharge circuit.,,
1431,powerlink:power-system-current-demand-failure,EXPP/PL,Major,Couldn't meet current demand.,Check module status. Replace derated/faulted modules.,,
1432,powerlink:power-system-reservation-lost,EXPP/PL,Major,Module reservation lost during session.,Power cycle. Check module that dropped.,,
1433,powerlink:power-system-communication-lost,EXPP/PL,Critical,Communication with power system lost.,Check cabling. Power cycle.,,
1434,powerlink:power-interconnect-migration-failure,EXPP/PL,Major,Power module migration between ports failed.,Power cycle. Check interconnect. Escalate.,,
1435,powerlink:invalid-power-interconnect,EXPP/PL,Critical,Power interconnect configuration invalid.,Verify wiring. Reconfigure. Escalate.,,
1436,powerlink:zlb-adapter-lost,EXPP/PL,Major,ZLB (Eichrecht meter housing) adapter communication lost. EU-specific.,Check ZLB adapter connection. Replace if persists.,,
1437,powerlink:all-input-relays-stuck-open,EXPP/PL,Critical,All AC input relays stuck open. Station can't receive AC power.,Power cycle. Replace relays.,,
1438,powerlink:input-relay-unsafe-cluster,EXPP/PL,Critical,Input relay cluster is in unsafe state. Multiple relays have faults.,Do not charge. Inspect all input relays. Replace as needed.,,
1439,powerlink:output-relay-unsafe-cluster,EXPP/PL,Critical,Output relay cluster is in unsafe state. Multiple output contactors have faults.,Do not charge. Inspect all output contactors. Replace as needed.,,
1440,powerlink:meter-offline,EXPP/PL,Major,Energy meter offline. Billing and measurement unavailable.,Check meter CAN connection. Power cycle. Replace meter.,,
1441,powerlink:combined-output-error,EXPP/PL,Critical,Combined output from parallel modules has an error. Voltage/current mismatch.,Power cycle. Check all module outputs. Replace faulted module.,,
1442,powerlink:invalid-configuration,EXPP/PL,Critical,Station configuration is invalid. Software or hardware config mismatch.,Reconfigure station. Update firmware. Escalate if persists.,,
1443,24,CPE250 (legacy),Major,Fault code 24 — typically maps to a power module communication error or CAN bus issue with a specific module.,Check CAN cabling. Power cycle. Identify which module is affected.,,
1444,27,CPE250 (legacy),Major,Fault code 27 — typically maps to power module over-temperature warning. Module is running hot.,Check cooling system. Module may be derating.,,
1445,29,CPE250 (legacy),Major,Fault code 29 — typically maps to power module under-voltage. DC link or output voltage too low.,Check AC input. Power cycle. Replace module if persists.,,
1446,31,CPE250 (legacy),Critical,Fault code 31 — typically maps to power module over-voltage. DC output or link voltage too high.,Power cycle. Check power module regulation. Replace module if persists.,,
1447,34,CPE250 (legacy),Critical,Fault code 34 — typically maps to power module over-current. Module exceeded current limit.,Check for short circuit. Power cycle. Replace module if persists.,,
1448,51,CPE250 (legacy),Critical,Fault code 51 — typically maps to contactor/relay stuck closed. Contactor can't open. Safety hazard.,Power cycle. Replace contactor. Check for welding.,,
1449,52,CPE250 (legacy),Critical,Fault code 52 — typically maps to contactor/relay stuck open. Contactor can't close to deliver power.,Power cycle. Replace contactor.,,
1450,53,CPE250 (legacy),Critical,Fault code 53 — typically maps to isolation fault. DC insulation resistance below minimum.,Power cycle. Check cables. Megger test. Replace damaged cables.,,
1451,54,CPE250 (legacy),Major,Fault code 54 — typically maps to precharge fault. Precharge circuit didn't complete properly.,Power cycle. Check precharge components. Replace power module if persists.,,
1452,55,urn:fault:cpnk:data-partition-full,"CPE250, CPE280",Critical,"CPNK data partition is full. Station may stop storing session data, logs, or accepting firmware updates.",Clear logs and old data. Reboot. Manual cleanup via shell. Escalate to Net Ops/ISE.,
1453,56,urn:fault:cpnk:tmp-partition-full,"CPE250, CPE280",Major,CPNK temp partition is full. Firmware updates and temp file operations will fail.,"Reboot to clear temp files. If persists, manual cleanup via shell.",
1454,57,urn:fault:cpnk:speaker-comms-failed,"CPE250, CPE280",Minor,"Speaker communication failed. Audio feedback (beeps, prompts) won't work. Station still charges normally.",Check speaker cable. Replace speaker module. Non-critical.,
1455,201,PowerModuleFault,CPE250,Major,Power module fault — all power modules shut down due to general fault status. May be caused by external source (vehicle).,"If occurring with other faults, escalate via #cpe250_os_support. Possible replacement needed.",
1456,202,CableCheckShortCircuit,CPE250,Critical,Cable insulation check detected short circuit. DC cables or connector damaged. Safety hazard.,Inspect cable for damage. Megger test. Replace cable if shorted.,
1457,203,InvalidCableDetected,CPE250,Critical,Station detected invalid or unsupported cable. EEPROM data doesn't match.,Verify correct cable installed. Check cable EEPROM. Replace cable.,
1458,204,VehicleEndedSession,CPE250,Minor,Vehicle initiated emergency shutdown — vehicle ended charge unexpectedly. This is informational.,"Fault should clear at session end. If consistent across sessions, escalate via #cpe250_os_support.",
1459,205,PowerModuleFault,CPE250,Major,Power module failure — all PMs shut down. Often triggered by external source stopping session (vehicle).,"If occurring with other faults, escalate via #cpe250_os_support. Possible replacement.",
1460,206,PairedStationCriticalFault,CPE250,Critical,Paired station has a critical fault. This station may be affected if it depends on shared power.,Check paired station for faults. Fix paired station first.,
1461,207,CriticalCommsFailure,CPE250,Critical,Critical internal communication failure. Station controller can't talk to critical subsystems.,Power cycle. Check all internal cables. Replace Falcon/DCC if persists.,
1462,212,MultipleSessions,CPE250,Major,Multiple concurrent sessions detected on a single port. Software or hardware glitch.,Power cycle. Escalate to engineering.,
1463,213,InvalidVehicleCommsSequence,CPE250,Major,Invalid vehicle communication sequence — vehicle didn't respond correctly to session start request.,Vehicle-related fault. Should clear at end of session.,
1464,214,VehicleShutdownFailure,CPE250,Major,Vehicle did not end session properly — vehicle shutdown failure. Contactors may have opened under load.,Should clear at session end. Try different vehicle. Check contactors for arc damage if persists.,
1465,215,InvalidVehicleVoltage,CPE250,Major,Vehicle requested a voltage below the station's minimum allowed value.,Vehicle-related. Should clear at end of session.,
1466,216,PairedPowerConnectionError,CPE250,Critical,Paired stations unable to communicate — DC wiring of paired stations is incorrect. Installation issue.,DC wiring needs to be corrected per install guide. Fault clears once DC wiring is correct.,
1467,217,PairedStationCommsLost,CPE250,Critical,Unable to contact peer CPE250 / paired peer station not responding.,Check both stations powered up. Match SW versions. Reboot both paired stations. Check ethernet wiring. Escalate via #cpe250_os_support.,
1468,218,SessionPwrMgmtFailure,CPE250,Major,Session power management failed. Station couldn't properly manage power delivery.,Power cycle. Check power modules. Escalate if recurring.,
1469,219,PairedStationConfigFault,CPE250,Critical,Paired station configuration does not match across both stations.,Confirm stations meet pairing requirements. Make sure SW versions match (check OnRamp info). Reboot both stations. Escalate via #cpe250_os_support.,
1470,220,PlugOutDetected,CPE250,Minor,Cable was unplugged during session. Informational — normal if driver removed cable.,No action if intentional. Check connector latch if unexpected.,
1471,221,GPIOFailure,CPE250,Critical,GPIO failure on DCC. Hardware control pins not responding.,Power cycle. Replace DCC if persists.,
1472,222,CableIOFailure,CPE250,Critical,"Cable I/O failure. Station can't read or control cable signals (pilot, proximity, lock).",Check cable controller wiring. Power cycle. Replace cable controller if persists.,
1473,223,VoltageOutOfRangePositive12V,CPE250,Major,+12V internal supply is out of range.,Check DCC power supply. Power cycle. Replace DCC if persists.,
1474,224,VoltageOutOfRangeNegative12V,CPE250,Major,-12V internal supply is out of range.,Check DCC power supply. Power cycle. Replace DCC if persists.,
1475,225,CCSAControlPilotOutOfRange,CPE250,Major,CCS-A control pilot voltage out of range. Station can't communicate with vehicle via pilot signal.,Check pilot circuit. Test with different vehicle. Replace cable controller if persists.,
1476,228,CCSBControlPilotOutOfRange,CPE250,Major,CCS-B control pilot voltage out of range.,Check pilot circuit. Test with different vehicle. Replace cable controller if persists.,
1477,229,CCSAProximityOutOfRange,CPE250,Major,CCS-A proximity pilot signal out of range. Station can't detect cable connection properly.,Check proximity circuit and connector. Replace cable if persists.,
1478,230,CCSBProximityOutOfRange,CPE250,Major,CCS-B proximity pilot signal out of range.,Check proximity circuit. Replace cable if persists.,
1479,231,DCCTempSensorFailure,CPE250,Major,DCC temperature sensor has completely failed. Station can't monitor DCC temperature.,Replace DCC or temp sensor.,
1480,232,DCCTempSensorError,CPE250,Minor,DCC temperature sensor reading is erratic but still partially functional.,Monitor. Replace DCC if readings become unreliable.,
1481,233,EEPROMReadError,CPE250,Major,EEPROM read error on DCC. Configuration or calibration data couldn't be read.,Power cycle. Replace DCC if persists. EEPROM may be corrupted.,
1482,234,PLC0NotResponding,CPE250,Critical,PLC board 0 (port 1 CCS communication) is not responding. Vehicle communication impossible.,Check PLC board seating. Power cycle. Replace PLC board if persists.,
1483,235,PLC1NotResponding,CPE250,Critical,PLC board 1 (port 2 CCS communication) is not responding.,Check PLC board seating. Power cycle. Replace PLC board if persists.,
1484,250,Relay1OpenCheckFailed,CPE250,Critical,Relay 1 (main DC contactor) failed open check — may be welded shut.,Power cycle. Replace contactor 1. Check for arc damage.,
1485,251,Relay1CloseCheckFailed,CPE250,Critical,Relay 1 failed close check — stuck open or coil failed.,Power cycle. Replace contactor 1.,
1486,252,Relay1NotClosedCheckFailed,CPE250,Critical,Relay 1 auxiliary contact feedback mismatch.,Check aux contact wiring. Replace contactor 1.,
1487,253,Relay2OpenCheckFailed,CPE250,Critical,Relay 2 failed open check — may be welded shut.,Power cycle. Replace contactor 2.,
1488,254,Relay2CloseCheckFailed,CPE250,Critical,Relay 2 failed close check — stuck open or coil failed.,Power cycle. Replace contactor 2.,
1489,255,Relay2NotClosedCheckFailed,CPE250,Critical,Relay 2 auxiliary contact feedback mismatch.,Check aux wiring. Replace contactor 2.,
1490,256,Relay3OpenCheckFailed,CPE250,Critical,Relay 3 (precharge contactor) failed open check — may be welded.,Power cycle. Replace contactor 3.,
1491,257,Relay3CloseCheckFailed,CPE250,Critical,Relay 3 failed close check — stuck open or coil failed.,Power cycle. Replace contactor 3.,
1492,258,Relay3NotClosedCheckFailed,CPE250,Critical,Relay 3 auxiliary contact feedback mismatch.,Check wiring. Replace contactor 3.,
1493,259,RelaysOpenAllCheckFailed,CPE250,Critical,All relays failed open check simultaneously. Multiple contactors welded or control circuit failed. Severe safety issue.,Do not charge. Inspect all contactors. Replace contactors and DCC. Escalate.,
1494,260,Relay3NotClosedCheckFailed (variant),CPE250,Minor,"Relay 3 not-closed check failed. On newer builds, this relay has been removed.",Update software to 7.3.0.21+ to resolve. Known Issues,
1495,261,CurrentSensorNotResponding,CPE250,Critical,DC current sensor not responding. Station can't measure charging current. Safety system blind.,Power cycle. Check current sensor wiring. Replace sensor or DCC if persists.,
1496,262,IsoMonCANCommsFailed,CPE250,Critical,Isolation Monitor CAN communication failed. Can't verify DC system isolation. Safety hazard.,Power cycle. Check CAN cable to IsoMon. Replace IsoMon if persists.,
1497,263,SystemVoltageCheckFailed,CPE250,Critical,System voltage check failed during self-test. Internal voltage rails out of spec.,Power cycle. Check DCC power supply. Replace DCC if persists.,
1498,270,RISOStateCheckFailed,CPE250,Critical,RISO (insulation resistance) state check failed. Can't verify isolation. Safety hazard.,Power cycle. Check IsoMon. Check DC cables for insulation damage. Replace IsoMon.,
1499,271,IsoMonStatusStabilityCheckFailed,CPE250,Critical,Isolation Monitor status not stable — readings fluctuating. Can't reliably confirm insulation integrity.,Power cycle. Check IsoMon CAN cable. Replace IsoMon if persists.,
1500,272,CoolCtrlCANCommsFailed,CPE250,Critical,Cooling Controller CAN communication failed. Can't manage cooling.,Check CAN cable to CCB. Power cycle. Replace CCB if persists.,
1501,273,CantReadPMCCConfig,CPE250,Major,Can't read Power Module Carrier Config. DCC unable to read EEPROM from carrier.,Power cycle. Reseat PM carrier. Replace carrier or DCC if persists.,
1502,280,StationIOCANCommsFailed,CPE250,Critical,"Station I/O board CAN communication failed. Can't control station I/O (door, locks, LEDs).",Check CAN cable to I/O board. Power cycle. Replace I/O board if persists.,
1503,281,SmartPwrCANCommsFailed,CPE250,Critical,Smart Power CAN communication failed. Power management offline.,Check CAN cable to SmartPwr. Power cycle. Replace SmartPwr if persists.,
1504,288,NotAllOutputChannelsTurnedOn,CPE250,Major,Not all power module output channels turned on during startup. Some modules may be faulted.,Power cycle. Check PM status. Replace faulted modules.,
1505,289,FanSpeedMismatch,CPE250,Major,General fan speed mismatch — actual RPM doesn't match commanded speed.,Check fans for obstructions. Replace fan assembly.,
1506,300,NoPowerModulesDetected,CPE250,Critical,No power modules detected (variant). DCC can't find any PM on CAN bus.,Check PM seating. Check CAN bus. Power cycle. Replace DCC if PMs are physically present.,
1507,310,NotAllPowerModulesActiveAvailable,CPE250,Major,Some power modules are not active. Station charges at reduced power.,Check which modules are faulted (DCC logs). Replace faulted modules.,
1508,312,VoltageOver50VOnPMOutputInStandalone,CPE250,Critical,Voltage over 50V on PM output when station should be off/standalone. Safety hazard.,"Check if station should be paired. If yes, apply paired policy. If no, escalate to #cpe250_os_support. Fault Codes (CPE250)",
1509,315,UnexpectedVoltageOnBothPMsInputBus,CPE250,Critical,Unexpected voltage on both PMs' input bus. Voltage present where there shouldn't be any.,Check AC input. Power cycle. Investigate wiring. Replace DCC/PMs if persists.,
1510,332,ChargeControlCANBusDown,CPE250,Critical,Charge control CAN bus completely down. All CAN communication for charging has failed.,Check CAN bus wiring and termination (120Ω). Power cycle. Replace DCC.,
1511,333,NoPowerModulesDetected,CPE250,Critical,No power modules detected. Station can't charge at all.,Check PM connection (Mod-Mech press down). Verify 2 PMs installed. Check for connector damage. Escalate via #cpe250_os_support.,
1512,334,McuFirmwareUpdateFailed,CPE250,Major,MCU firmware update failed on DCC or subsystem.,Retry firmware update. Power cycle. Escalate if persists.,
1513,335,VoltageOver50VOnPMOutputInStandalone,CPE250,Critical,Voltage over 50V on PM output in standalone. Two root causes: PM failure or paired stations not set up correctly.,"A) Check if station should be paired — apply paired policy. B) If not paired, escalate to ISE via #cpe250_os_support. May need to disable faulted PM.",
1514,336,UnexpectedVoltageOnBothPMsInputBus,CPE250,Critical,Unexpected voltage on both PMs' input bus. Often caused by incorrect transformer configuration (Delta secondary instead of Wye).,"Check transformer config — must be Delta-Wye (480V/277V). If Corner Grounded Delta, transformer needs rewiring. Fault Code 336 Case Study",
1515,340,PowerSystemFailed,CPE250,Critical,Entire power system has failed. Station cannot produce DC power.,Power cycle. Check AC input. Check power modules. Replace DCC or PMs as needed.,
1516,341,SystemSelfTestFailed,CPE250,Critical,System self-test failed during startup. One or more subsystems didn't pass diagnostics.,Power cycle a few times. Check DCC logs. Replace faulted component.,
1517,801,urn:fault:isomon:isolation-fault,CPE250,Major,Isolation between safety ground and charger output is too low.,"Should clear at session end. If recurring, check SelfTest for PM ""Failed"" under Energize test. If one PM failed, disable it via #cpe250_os_support. Replace failed PM. Isolation Inspection Guide",
1518,802,urn:fault:isomon:emergency-shutdown,CPE250,Major,Emergency stop initiated by the station.,"Should clear with session. If persists, usually related to isolation faults. Escalate via #cpe250_os_support.",
1519,803,urn:fault:isomon:relay-stuck-closed (Invalid Command),CPE250,Critical,IsoMon invalid command / contactor relay issue.,Replace contactor box. DC Fuse Failure Guide,
1520,804,urn:fault:isomon:self-test-failed,CPE250,Major,Safety isolation monitor failed during self-test.,"Run another self-test. If every test fails, escalate via #cpe250_os_support.",
1521,821,Relay1StuckClosed,CPE250,Critical,Relay 1 (contactor) stuck closed — can't open. Safety hazard.,Replace contactor box.,
1522,822,Relay2StuckClosed,CPE250,Critical,Relay 2 stuck closed.,Replace contactor box.,
1523,823,Relay3StuckClosed,CPE250,Critical,Relay 3 stuck closed.,Replace contactor box.,
1524,825,Relay1StuckOpen,CPE250,Critical,Relay 1 stuck open — can't close to deliver power.,Replace contactor box.,
1525,826,Relay2StuckOpen,CPE250,Critical,Relay 2 stuck open.,Replace contactor box.,
1526,827,Relay3StuckOpen,CPE250,Critical,Relay 3 stuck open.,Replace contactor box.,
1527,828,BusBar1OverTemp,CPE250,Critical,Bus bar 1 is overheating. High-current connection is too hot. Fire hazard.,Immediate attention. Check terminal torque. Inspect for discoloration. Re-torque or replace.,
1528,829,BusBar2OverTemp,CPE250,Critical,Bus bar 2 overheating.,Immediate attention. Check terminal torque.,
1529,830,BusBar3OverTemp,CPE250,Critical,Bus bar 3 overheating.,Immediate attention. Check terminal torque.,
1530,831,TamperDetectIsoMon,CPE250,Major,Tamper detected on Isolation Monitor. IsoMon enclosure opened or tamper switch triggered.,Check IsoMon enclosure. Resecure.,
1531,901,CableIsolationFailure,CPE250,Critical,Cable insulation resistance test failed. Safety hazard.,Inspect cable for physical damage. Megger test cable. Replace cable if failed.,
1532,903,ProximityError,CPE250,Major,Proximity pilot (PP) signal error — cable not properly detected or proximity circuit fault.,Check connector seating. Check PP circuit wiring. Replace cable if persists.,
1533,904,CableTempWarning,CPE250,Major,Cable temperature near max threshold. Charging speed will be reduced (derated).,"Certain vehicles cause connector heating. Try different vehicle. If persists on multiple, escalate via #cpe250_os_support.",
1534,905,CableTempAlert,CPE250,Critical,Cable temperature reached alert level — charging stopped.,Check cable for damage. Try different vehicle. Escalate via #cpe250_os_support.,
1535,1001,urn:fault:ccb:fan-left-disabled,"CPE250, CPE280",Major,Left bank fan has been disabled. Fan not spinning at expected RPM. Station won't charge at full power.,Check for fan obstructions. Replace fan with fault. Fan trays identified from front of station. Escalate via #cpe250_os_support.,
1536,1002,urn:fault:ccb:fan-right-disabled,"CPE250, CPE280",Major,Right bank fan disabled. Same as above for right side.,Check for obstructions. Replace fan.,
1537,1004,urn:fault:ccb:coolant-pump-air-lock,"CPE250, CPE280",Critical,Coolant pump air lock — pump running but not circulating coolant. Air trapped in system.,"Update SW to 7.0.5.27+. Run self-test x2. Follow Airlock Clear Procedure. Tech needs to ""burp"" the system. Escalate via #cpe250_os_support.",
1538,1005,FanTrayMissingModuleCarrier,CPE250,Major,Fan tray is missing from module carrier slot. Fan not physically present.,Reseat fan tray. Verify hardware installation.,
1539,1006,FanFaultPowerModuleCarrier,CPE250,Major,Fan fault on power module carrier. Cooling for power modules compromised.,Check PM carrier fans. Replace fan assembly.,
1540,1007,CoolantLowLevel,"CPE250, CPE280",Critical,Coolant level critically low. Dispatch immediately. Risk of overheating and pump damage.,"Dispatch immediately for possible leak or refill. Check for associated faults 10074, 10073, 10036, 601. Overheating Faults Guide",
1541,1008,CoolantMediumLevelLow,CPE250,Minor,Coolant at medium-low level. Known issue on multiple CPE250s. Not critical unless followed by 1007.,No action needed unless followed by 1007 (which indicates actual leak).,
1542,1009,AirFlowConstrictedLow,CPE250,Minor,Airflow partially constricted. Station may derate under load.,Check air filters and vents. Remove obstructions.,
1543,1015,urn:fault:powermodule:fan-failure-warning,"CPE250, CPE280",Minor,PM internal fan showing signs of failure (speed mismatch).,Check PM fan. Warning only. Schedule replacement.,
1544,1016,AirFlowConstrictedHigh,CPE250,Major,Airflow severely constricted. Station will derate or overheat.,"Immediately clear obstructions. Check filters, vents, and fan operation.",
1545,1065,urn:fault:ccb:coolant-pump-failed,"CPE250, CPE280",Critical,Coolant pump has failed completely. No coolant circulation. Station will overheat. Lockout after 3 trips in 24h.,Update SW to 7.0.5.27+. Run self-test x2. Follow Airlock Clear Procedure. Check pump and hoses. Replace coolant pump if persists. Escalate via #cpe250_os_support.,
1546,1066,ThreePhaseGateDriverFault,CPE250,Critical,Three-phase gate driver faulted. Power module can't switch properly. Charging stops.,Power cycle. Replace power module if persists. Escalate to engineering.,
1547,1201,urn:fault:dispio:front-bottom-panel-open,"CPE250, CPE280",Critical,Front bottom panel door not installed correctly. Station UI changes to show panel status.,All panels use magnetic connection. Verify panels make connection with magnet. See FRU guides for Front Panel and Rear Panel.,
1548,1202,urn:fault:dispio:middle-vent-panel-open,"CPE250, CPE280",Critical,Middle vent panel door not installed correctly.,Verify magnet connection. Check sensor in frame. Replace if defective.,
1549,1203,urn:fault:dispio:front-top-panel-open,"CPE250, CPE280",Critical,Front top panel not installed correctly.,Verify magnet connection.,
1550,1204,urn:fault:dispio:secondary-display-panel-open,"CPE250, CPE280",Critical,Secondary display panel not installed correctly.,Verify magnet connection.,
1551,1205,urn:fault:dispio:light-bar-panel-open,"CPE250, CPE280",Critical,Area light bar panel not installed correctly.,Verify magnet connection.,
1552,1206,urn:fault:dispio:rear-bottom-panel-open,"CPE250, CPE280",Critical,Rear bottom panel not installed correctly.,Verify magnet connection.,
1553,1207,urn:fault:dispio:rear-middle-panel-open,"CPE250, CPE280",Critical,Rear middle panel not installed correctly.,Verify magnet connection.,
1554,1208,urn:fault:dispio:rear-top-panel-open,"CPE250, CPE280",Critical,Rear top panel not installed correctly.,Verify magnet connection.,
1555,1209,urn:fault:dispio:left-extrusion-panel-open,"CPE250, CPE280",Critical,Left extrusion panel not installed correctly.,Verify magnet connection.,
1556,1210,urn:fault:dispio:right-extrusion-panel-open,"CPE250, CPE280",Critical,Right extrusion panel not installed correctly.,Verify magnet connection.,
1557,1216,urn:fault:dispio:flood-sensor-fault,"CPE250, CPE280",Critical,Flood sensor triggered — water detected inside station. Electrical hazard.,"Stop station. Inspect for water ingress. Check seals, cable glands, drainage. Dry out before restarting.",
1558,1217,urn:fault:dispio:external-emergency-stop,"CPE250, CPE280",Critical,External emergency stop triggered. E-stop button pressed.,Check E-stop. Reset. Investigate why triggered.,
1559,1220,urn:fault:dispio:ac-surge1-tripped,"CPE250, CPE280",Major,AC surge protector 1 tripped. AC surge protection depleted.,Replace surge protector 1. Check site power quality.,
1560,1224,urn:fault:dispio:ac-surge-missing,"CPE250, CPE280",Major,AC surge protector missing or not detected. Station has no surge protection.,Install/replace surge protector.,
1561,1232,urn:fault:dispio:ac-input-temp-too-hot,"CPE250, CPE280",Critical,AC input temperature too hot. Loose connections or undersized wire. Fire hazard.,Immediate attention. Check terminal torque. Inspect for discoloration/melting. Re-torque or replace.,
1562,1240,urn:fault:dispio:can-comms-error,"CPE250, CPE280",Critical,DispIO lost CAN communication with station controller. I/O monitoring offline.,Check CAN cabling. Power cycle. Replace DispIO if persists.,
1563,1248,urn:fault:dispio:ac-surge2-tripped,"CPE250, CPE280",Major,AC surge protector 2 tripped.,Replace surge protector 2.,
1564,1401,urn:fault:smartpwr:can-comms-error,"CPE250, CPE280",Critical,SmartPwr lost CAN communication. Power distribution status unknown.,Check CAN cabling. Power cycle. Replace SmartPwr if persists.,
1565,1402,urn:fault:smartpwr:can-non-operational-state,"CPE250, CPE280",Critical,SmartPwr CAN bus in non-operational state. Bus error recovery failed.,Power cycle. Check CAN wiring and termination (120Ω). Replace SmartPwr if persists.,
1566,1403,urn:fault:smartpwr:fan0-stuck,"CPE250, CPE280",Major,SmartPwr fan 0 not spinning. No cooling for SmartPwr board.,Check fan for obstructions. Replace fan.,
1567,1404,urn:fault:smartpwr:fan1-stuck,"CPE250, CPE280",Major,SmartPwr fan 1 not spinning.,Check fan. Replace fan.,
1568,1405,urn:fault:smartpwr:channel0-under-voltage,"CPE250, CPE280",Major,Channel 0 output below minimum voltage. Subsystem may not function.,Check load. Power cycle. Replace SmartPwr if persists.,
1569,1406,urn:fault:smartpwr:channel1-under-voltage,"CPE250, CPE280",Major,Channel 1 undervoltage.,Check load. Power cycle. Replace SmartPwr.,
1570,1407,urn:fault:smartpwr:channel2-under-voltage,"CPE250, CPE280",Major,Channel 2 undervoltage.,Check load. Power cycle. Replace SmartPwr.,
1571,1408,urn:fault:smartpwr:channel3-under-voltage,"CPE250, CPE280",Major,Channel 3 undervoltage.,Check load. Power cycle. Replace SmartPwr.,
1572,1409,urn:fault:smartpwr:channel4-under-voltage,"CPE250, CPE280",Major,Channel 4 undervoltage.,Check load. Power cycle. Replace SmartPwr.,
1573,1410,urn:fault:smartpwr:channel0-over-voltage,"CPE250, CPE280",Major,Channel 0 output above max. Regulation failure.,Power cycle. Replace SmartPwr if persists.,
1574,1411,urn:fault:smartpwr:channel1-over-voltage,"CPE250, CPE280",Major,Channel 1 overvoltage.,Power cycle. Replace SmartPwr.,
1575,1412,urn:fault:smartpwr:channel2-over-voltage,"CPE250, CPE280",Major,Channel 2 overvoltage.,Power cycle. Replace SmartPwr.,
1576,1413,urn:fault:smartpwr:channel3-over-voltage,"CPE250, CPE280",Major,Channel 3 overvoltage.,Power cycle. Replace SmartPwr.,
1577,1414,urn:fault:smartpwr:channel4-over-voltage,"CPE250, CPE280",Major,Channel 4 overvoltage.,Power cycle. Replace SmartPwr.,
1578,1415,urn:fault:smartpwr:channel6-under-voltage,"CPE250, CPE280",Major,Channel 6 undervoltage.,Check load. Power cycle. Replace SmartPwr.,
1579,1416,urn:fault:smartpwr:channel7-under-voltage,"CPE250, CPE280",Major,Channel 7 undervoltage.,Check load. Power cycle. Replace SmartPwr.,
1580,1417,urn:fault:smartpwr:channel6-over-voltage,"CPE250, CPE280",Major,Channel 6 overvoltage.,Power cycle. Replace SmartPwr.,
1581,1418,urn:fault:smartpwr:channel7-over-voltage,"CPE250, CPE280",Major,Channel 7 overvoltage.,Power cycle. Replace SmartPwr.,
1582,1419,urn:fault:smartpwr:channel0-over-current,"CPE250, CPE280",Critical,Channel 0 overcurrent. Subsystem drawing too much. Channel may shut down.,Check subsystem for short. Power cycle. Replace SmartPwr.,
1583,1420,urn:fault:smartpwr:channel1-over-current,"CPE250, CPE280",Critical,Channel 1 overcurrent.,Check subsystem. Power cycle. Replace SmartPwr.,
1584,1421,urn:fault:smartpwr:channel2-over-current,"CPE250, CPE280",Critical,Channel 2 overcurrent.,Check subsystem. Power cycle. Replace SmartPwr.,
1585,1422,urn:fault:smartpwr:channel3-over-current,"CPE250, CPE280",Critical,Channel 3 overcurrent.,Check subsystem. Power cycle. Replace SmartPwr.,
1586,1423,urn:fault:smartpwr:channel4-over-current,"CPE250, CPE280",Critical,Channel 4 overcurrent.,Check subsystem. Power cycle. Replace SmartPwr.,
1587,1424,urn:fault:smartpwr:channel6-over-current,"CPE250, CPE280",Critical,Channel 6 overcurrent.,Check subsystem. Power cycle. Replace SmartPwr.,
1588,1425,urn:fault:smartpwr:channel7-over-current,"CPE250, CPE280",Critical,Channel 7 overcurrent.,Check subsystem. Power cycle. Replace SmartPwr.,
1589,1426,urn:fault:smartpwr:input-ac-over-voltage,"CPE250, CPE280",Major,AC input to SmartPwr is over voltage. Site power too high.,Check site power. May need utility investigation.,
1590,1427,urn:fault:smartpwr:test-mode,"CPE250, CPE280",Minor,SmartPwr in test mode during normal operation. Should not be in test mode.,Exit test mode. Power cycle if stuck.,
1591,1428,urn:fault:smartpwr:pll-locked,"CPE250, CPE280",Minor,PLL locked — SmartPwr synced to AC frequency. Usually informational.,Monitor. Usually normal.,
1592,1429,urn:fault:smartpwr:power-fault,"CPE250, CPE280",Critical,General SmartPwr power fault. Internal power distribution failed.,Power cycle. Replace SmartPwr if persists.,
